date,time,day,hour,is_holiday,is_weekend,segment_1,segment_2,segment_3,segment_4,segment_5,segment_6,segment_7,segment_8,segment_9,segment_10
06/01/26,13:22:36,Tuesday,13,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,13:37:49,Tuesday,13,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,13:53:00,Tuesday,13,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,14:08:11,Tuesday,14,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,14:23:22,Tuesday,14,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,14:38:35,Tuesday,14,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,14:53:46,Tuesday,14,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,15:08:57,Tuesday,15,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,15:24:08,Tuesday,15,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,15:39:21,Tuesday,15,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,15:54:32,Tuesday,15,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,16:09:44,Tuesday,16,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,16:24:55,Tuesday,16,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,16:40:08,Tuesday,16,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,16:55:19,Tuesday,16,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,17:10:30,Tuesday,17,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,17:25:41,Tuesday,17,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,17:40:54,Tuesday,17,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,17:56:05,Tuesday,17,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,18:11:17,Tuesday,18,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,18:26:30,Tuesday,18,0,0,1,3,1,1,1,1,1,1,1,1
06/01/26,18:41:43,Tuesday,18,0,0,1,3,1,1,1,1,1,1,1,1
